S11190	Arendal-Lundby 5:1	\N	57.698	11.840	Sweden	\N	2022-08-15 14:23:17	claudia@localhost	2022-08-16 09:00:56	claudia@localhost
S12187	Tuna	Kalmar	57.576	16.108	Sweden	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S08784	Pod křídlem	\N	50.667	14.533	Czechia / Czech Republic	\N	\N	\N	2025-03-20 13:18:23	jan@localhost
S02080	Grognon	\N	50.467	4.867	Belgium	\N	\N	\N	\N	\N
S01197	Ballyglass	\N	54.284	-9.387	Ireland	\N	\N	\N	\N	\N
S06088	Sipplingen	\N	47.792	9.102	Germany	Si2: the pile dwelling construction Sipplingen at Uberlingen Lake is one of the standard Neusiedel stations on Lake Constance (all refs from Riehl online publication); the samples described were taken during under-water excavations (dir: Monuments Office of Baden-Wuerttemberg) in the years 1998 and 1999; all samples described here are from the Pfyn culture layers (Jacomet has published Horgen dated layers); to investigate the Pfyn settlement an area of 38 m2 was excavated; the upper cultural layer (layer 9, findings 2.1-2.5) dates back to 3700 BC - sampling was carried in m2 over the entire excavation area; layer 9 contained a burnt layer (finding 2.4) - the focus of archaeobotanical studies; below this: (layers 7 and 8, findings 4.1-4.4.6 / 5) dated by dendro to 38C BC - only partially excavated and sampled to a lesser extent (detailed information on layers sampled given in translation); archaeobotany: the basis of archaeobotanical investigations were 18 columns taken from profiles (location of profiles in the excavation area, see Figure 4-6, Appendix 6); additional samples were examined from the 9cm thick burnt layer (find 2.4; see translation for full description); different size fractions were sorted: > 0.2 mm > 0.5 mm > 1mm > 2mm and > 5 mm, all of which were processed: > 5 mm > 2 mm and most of the > 1 mm were fully processed but only 10% of the fraction > 0.2 mm was processed due to time constraints; mean total density of the Pfyn remains (charred and uncharred) is more than 4,400 items per litre; [full descriptions of taxa given in the pdf - also results of analyses including CA]Si1: Horgan dated levels were uncovered in the eastern harbour area (Jacomet analysed the plant remains from this period); a profile column sample was taken through the 1m thick cultural deposits - 5 major cultural levels (levels 11-15) were defined (subdivisions within these are listed on p300); dendro dates indicated that the Horgen settlement lasted nearly 500 years; 19 samples (coincidental with the 19 stratigraphic subdivisions) were taken from the profile column (sample volumes varied between 200-3000cm3); plant remains were recovered by wet sieving using meshes of 8,4,2,1,0.5mm; samples contained charred and uncharred/waterlogged specimens - a majority of taxa were waterlogged (sample 10 is equivalent to the burnt layer 10 and has the highest numbers of charred specimens); the later Horgen (upper levels from layer 11 and above) has a more diverse range of species; together with the taxa previously identified by Bertsch (1932) the total number of species/genera/families represented is 163; quantititative data entered in db are from tables 4-7 - several 'economic' taxa are not listed in these tables but are noted in table 3 and for these presence only is entered in dbNote: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains + waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former	\N	\N	\N	\N
S10132	Джулюница-Смърдеш; Dzhulyunitsa-Smardesh; Džuljunica-Smărdeš	\N	43.161	25.883	Bulgaria	\N	2022-01-19 17:34:55	robert@localhost	2022-11-29 09:38:21	jelena@localhost
S02718	Les Pichelots, Les Alleuds	\N	47.320	-0.410	France	\N	\N	\N	2023-04-20 14:05:29	Rscripts@localhost
S07014	Geevraun	\N	54.313	-9.590	Ireland	\N	\N	\N	\N	\N
S11320	Kolind; 140208-13	Jutland	56.362	10.593	Denmark	\N	2022-11-25 13:18:51	robert@localhost	2024-03-15 13:17:32	helene@localhost
S10308	Bregovi Atovac-Kuzmin; Брегови Атовац-Кузмин	\N	45.012	19.372	Serbia	\N	2022-01-25 12:22:59	jelena@localhost	2022-01-25 12:22:59	jelena@localhost
S01599	Cörmigk-Sixdorf	\N	51.730	11.830	Germany	\N	\N	\N	\N	\N
S21015	Gediminas' Hill; Castle Hill	Vilnius	54.686	25.291	Lithuania	\N	2025-06-05 16:49:36	natalia_riabogina@localhost	2025-06-05 16:49:36	natalia_riabogina@localhost
S11995	Augsburg, Hugo-Eckener-Strasse	Bavaria	48.331	10.899	Germany	\N	2023-04-06 13:03:20	nicoline@localhost	2023-04-06 13:03:20	nicoline@localhost
S06477	Lominot	\N	53.610	-1.989	Great Britain	\N	\N	\N	\N	\N
S09110	Kluftern-Riedheim Lettenhof	\N	47.699	9.407	Germany	\N	\N	\N	\N	\N
S01037	Achmer	\N	52.400	7.933	Germany	\N	\N	\N	\N	\N
S07234	Slatt Lower	\N	52.890	-7.151	Ireland	\N	\N	\N	\N	\N
S11274	Norjeskogen	Blekinge	56.140	14.661	Sweden	\N	2022-10-06 14:42:45	claudia@localhost	2023-02-27 12:57:20	jelena@localhost
S01339	Borkel-Achterste Brug	\N	51.280	5.420	Netherlands	\N	\N	\N	\N	\N
S01578	COMBE NEGRE 2	\N	44.820	1.460	France	\N	\N	\N	\N	\N
S07963	Hogdal 410	\N	59.025	11.233	Sweden	\N	\N	\N	\N	\N
S05040	Trosly-Breuil "Les Obeaux"	\N	49.405	2.991	France	\N	\N	\N	\N	\N
S10951	Suceveni; Suceveni-Stoborăni	Galați County	46.011	28.042	Romania	\N	2022-05-13 19:12:19	jelena@localhost	2023-07-26 06:46:48	jelena@localhost
S02785	LES RIDEAUX	\N	43.230	0.670	France	\N	\N	\N	\N	\N
S20487	Den Haag-Scheveningseweg	Zuid-Holland Province	52.094	4.289	Netherlands	based on the publication groot2024a (not exact location)	2024-07-19 13:48:27	jelena@localhost	2024-07-19 13:48:27	jelena@localhost
S21016	Hluboké Mašůvky - Nivky	Znojmo	48.929	16.026	Czechia / Czech Republic	Center of modern village	2025-06-30 08:20:43	dominika_schmidtova@localhost	2025-06-30 08:20:43	dominika_schmidtova@localhost
S01308	Björkärr	\N	56.110	15.810	Sweden	\N	\N	\N	\N	\N
S10196	Vovnigi 2; Vovnigi II; Вовніги II; Vovnihy II	\N	48.300	35.139	Ukraine	\N	2022-01-28 14:27:05	robert@localhost	2022-10-17 11:40:18	robert@localhost
S12658	Polgár-Basatanya	Hajdú-Bihar county	47.883	21.083	Hungary	\N	2023-07-18 12:12:49	jelena@localhost	2023-07-18 12:12:49	jelena@localhost
S01795	Blaustein-Ehrenstein	\N	48.410	9.923	Germany	\N	\N	\N	\N	\N
S03547	Rottenburg a.N., Lindele	\N	48.485	8.944	Germany	\N	\N	\N	\N	\N
S07133	Lowpark	\N	53.960	-8.805	Ireland	\N	\N	\N	\N	\N
S10203	Korbovo; Корбово	\N	44.530	22.720	Serbia	\N	2022-01-20 19:48:38	jelena@macelab-server.biochem.ucl.ac.uk	2022-01-20 19:48:38	jelena@macelab-server.biochem.ucl.ac.uk
S06807	Ballyvergin	\N	51.940	-7.883	Ireland	\N	\N	\N	\N	\N
S13205	Lindegård Mose ; 150604-147	Jutland	56.212	10.152	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S10914	Kivutkalns	\N	56.852	24.272	Latvia	\N	2022-05-09 13:47:23	robert@localhost	2022-05-09 14:47:23	robert@localhost
S02677	Le Petites Baties	\N	44.270	4.690	France	\N	\N	\N	\N	\N
S01841	Erfurt	\N	50.950	11.060	Germany	\N	\N	\N	\N	\N
S01088	Annertol	\N	53.070	6.690	Netherlands	\N	\N	\N	\N	\N
S20537	Bonnard le Poirier	Yonne	47.931	3.532	France	Within 1 km; found to town with GoogleMaps	2024-08-06 14:00:26	sam@localhost	2024-08-06 14:00:26	sam@localhost
S10182	Măgura Buduiasca (Teleor 3); Magura-Buduiasca (TELEOR 003)	\N	44.022	25.394	Romania	coordinates: gelab2023a	2022-01-19 17:34:55	robert@localhost	2023-11-27 16:18:31	robert@localhost
S20827	Las Yurdinas II	\N	42.630	-2.700	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S03887	Street House Farm	\N	54.566	-0.862	Great Britain	\N	\N	\N	\N	\N
S11338	Sludegård Sømose; 090606-34A	Funen	55.253	10.746	Denmark	\N	2022-11-25 13:18:51	robert@localhost	2024-03-15 13:30:10	helene@localhost
S12098	Ballygarraun	\N	53.243	-8.838	Ireland	\N	2023-04-27 13:45:48	sam@localhost	2023-04-28 07:15:06	Rscripts@localhost
S03010	Molzen	\N	53.020	10.600	Germany	\N	\N	\N	\N	\N
S04305	Zwolle-Ittersumallee	\N	52.463	6.058	Netherlands	\N	\N	\N	\N	\N
S02255	Horné Lefantovce	\N	48.417	18.167	Czechia / Czech Republic	\N	\N	\N	\N	\N
S06740	Ardsallagh	\N	53.604	-6.656	Ireland	\N	\N	\N	\N	\N
S12642	Cozia-Iaşi	Iaşi County	47.005	27.902	Romania	location of the village	2023-07-13 10:37:34	jelena@localhost	2023-07-26 06:41:37	jelena@localhost
S06749	Ballinillaun	\N	53.245	-8.840	Ireland	\N	\N	\N	\N	\N
S04631	Ay-sur-Moselle	\N	49.240	6.210	France	\N	\N	\N	\N	\N
S08996	Longueil-Sainte-Marie - Le Barrage	\N	49.350	2.717	France	\N	\N	\N	\N	\N
S03256	Parks of Carden	\N	56.144	-4.247	Great Britain	\N	\N	\N	\N	\N
S07154	Monanny	\N	53.989	-6.713	Ireland	Site 1 contained three Early Neolithic rectangular structures, as well as associated pits and hearths; later activity was also recorded at this site, including a Bronze Age burnt mound and pits, an early medieval drying kiln, a medieval burial and post-medieval agricultural features; excavation licence number: 03E0888.; Archaeobotany: charred plant remains were recorded in 62 deposits from Early Neolithic structural and related features; the plant remains derived from forty-eight soil samples, which were washed/processed with water using a sieve of 0.25 mm mesh size; hazelnut shell was also hand-picked during the excavation from the following 14 deposits: C62, C445, C450, C482, C499, C562, C601, C603, C605, C630, C673, C906, C925, C1054; cereal remains (including emmer wheat and naked barley), hazelnut shell and weeds were present; exact counts of material were not provided in many cases (instead recorded as rare=1-5/occasional=6-10/common=11-50/abundant=>50); an oat grain from C4 was 14C dated to the post-medieval/modern period, and it is therefore unclear if other oat grains from these deposits are Neolithic or later.	\N	\N	\N	\N
S13161	Borovan	\N	43.416	23.755	Bulgaria	\N	2024-03-12 15:01:33	jan@localhost	2024-03-12 15:01:33	jan@localhost
S06895	Clonast bog	\N	53.220	-7.829	Ireland	\N	\N	\N	\N	\N
S09149	Seefeld-Nachtweid	\N	47.746	9.221	Germany	\N	\N	\N	\N	\N
S10347	Tărtăria; Tărtăria-Gura Luncii	Alba	45.948	23.410	Romania	\N	2022-02-18 11:10:23	jelena@localhost	2023-11-17 09:36:59	jelena@localhost
S02267	Hov	\N	55.910	10.250	Denmark	\N	\N	\N	\N	\N
S04711	Egolzwil 4	\N	47.185	8.007	Switzerland	\N	\N	\N	\N	\N
S01925	Grotte de Foissac (Jonquieres)	\N	44.477	1.968	France	the cave is located in the commune of Foissac (Aveyron) NE of the Causse de Limogne at a distance of 15km N of Villefranche-de-Rouergue; archaeological excavations were conducted between 1977 and 1988;  Chalcolithic occupation is concentrated in approximately 300 m of gallery behind the underground entrance to the river; research first concerned the facilities, quarries and traces related to clay extraction and also human remains, especially 4 individual burials; 2 areas have been examined: sectors de la Riviere and du Chaos (in both plant remains were preserved); by pumping/diversion of the Jonquiere (river) during low water it was possible to excavate on the old river bed - two Chalcolithic levels underwater were very favorable to the preservation of plant remains (e.g., la Riviere area) including the presence of many non-carbonized wood fragments; 16 wooden posts were found in 2 rows oriented along the axis of the stream - these are supposed to have supported a wooden floor c.70 m2 in area; Chaos area: archaeological layers eroded so excavation was limited to 2 layers: lower almost devoid of finds; upper rich in finds and charred plant remains (also impressions of basketry etc. in clay); 2 large vessels associated with concentrations of charred seeds suggests that the area was used for storage [burnt rodent coprolites were found in with the stored cereal grains indicating infestation]; 	\N	\N	\N	\N
S11050	Barcin Höyük; Barçin Höyük	\N	40.278	29.556	Türkiye	Google Earth within 10km	2022-06-02 11:47:12	emily@localhost	2025-06-02 10:47:45	samantha_scott_reiter@localhost
S12913	Mostonga; Мостонга	\N	45.303	19.210	Serbia	\N	2023-07-12 14:38:27	jan@localhost	2023-07-12 14:39:43	jan@localhost
S09199	Val-de-Reuil « Varennes »	\N	49.260	1.240	France	\N	\N	\N	\N	\N
S10206	Nosa-Biserna Obala; Носа-Бисерна Обала; Nosa-Gyöngypart	\N	46.060	19.400	Serbia	\N	2022-01-31 08:09:51	jelena@macelab-server.biochem.ucl.ac.uk	2022-01-31 08:09:51	jelena@macelab-server.biochem.ucl.ac.uk
S06849	Callow	\N	53.909	-8.466	Ireland	\N	\N	\N	\N	\N
S04963	Rottenburg-"Fröbelweg"	\N	48.475	8.943	Germany	\N	\N	\N	\N	\N
S10902	Ardu	\N	59.060	25.213	Estonia	\N	2022-05-09 13:47:23	robert@localhost	2022-05-09 14:47:23	robert@localhost
S08828	Moulins-sur-Orne	\N	48.759	-0.071	France	\N	\N	\N	\N	\N
S10380	Falköping östra 1	\N	58.140	13.521	Sweden	\N	2022-03-07 13:31:57	sam@localhost	2022-03-07 13:31:57	sam@localhost
S07672	Zerniki 27	\N	50.474	20.811	Poland	\N	\N	\N	\N	\N
S01451	CAPDENAC LE HAUT	\N	44.583	2.067	France	\N	\N	\N	\N	\N
S03593	Saint Jean et Saint Paul grotte des Treilles	\N	43.930	3.000	France	\N	\N	\N	\N	\N
S08117	Rokær; 160306-98	Jutland	55.884	9.776	Denmark	\N	\N	\N	2024-03-15 13:20:18	helene@localhost
S12819	Bled-pod Gradom	\N	46.370	14.095	Slovenia	location of the town	2024-04-09 10:06:39	jelena@localhost	2024-04-09 10:06:39	jelena@localhost
S11081	Gwoździec 2	\N	49.891	20.759	Poland	Within 2 km	2022-06-22 11:08:09	claudia@localhost	2022-06-22 12:08:09	claudia@localhost
S07392	Freising	\N	48.399	11.746	Germany	Freising is located c.20 km to the north of Munich - between these cities lies the "Munchener Schotterebene", a plain with infertile gravel/sand bars and fens, to the north of the plain the landscape is hilly and covered with loess - one of these hills is the "Freisinger Domberg", near the river Isar has been intensively occupied during prehistory, including the Bronze Age when the present settlement was established (Kuster 1992); more than ten years ago Manfred Menke recovered, during the course of an excavation at Freising, an early Bronze Age structure that he tentatively identified as an oven - it was filled with carbonized grain (the so-called oven is archaeologically dated to the Early Bronze Age A3/B1); the carbonized grain was located in the 50 x 50 cm 'oven' structure: the layer of grain was some 10 cm thick; five radiocarbon determinations have been obtained (Menke, pers. comm.) 3280<U+00B1>90 BP (KI-17200.02), 3320<U+00B1>60 BP (KI-1719), 3360<U+00B1>60 BP (KI-1720.01), 3360<U+00B1>70 BP (KI-1721.01) and 3400<U+00B1>120 BP (KI-172.02); archaeobotany: 10 subsamples were taken by the excavator and dispatched to our laboratory in 1985 - unfortunately, the sampling positions were not recorded as it was assumed that the deposit was homogeneous; from each of the ten subsamples 200 cm' of material was taken for archaeobotanical investigation - the inorganic fraction was sandy or loamy and contained considerable amounts of ash and some charcoal; the samples were sieved in water with three sieves of the following mesh sizes: 2.5, 1.0, and 0.315 mm	\N	\N	\N	\N
S12096	Ratoath	\N	53.506	-6.466	Ireland	\N	2023-04-27 13:45:48	sam@localhost	2023-04-28 07:15:06	Rscripts@localhost
S07306	Bosch St.Pietersvoeren	\N	50.750	5.760	Belgium	\N	\N	\N	\N	\N
S06254	Callaly Moor	\N	55.363	-1.907	Great Britain	\N	\N	\N	\N	\N
S12722	Vărădia-Chilii	Caraş-Severin County	45.080	21.547	Romania	location of the village	2023-08-01 09:57:01	jelena@localhost	2023-08-01 09:57:01	jelena@localhost
S04334	Bromfield	\N	52.394	-2.762	Great Britain	S (p283) records 2 shallow pits with basal layers comprising grey soil + charcoal; C (p286-7) records taxa from the lowest levels in the 2 pits (F246&247); samples sizes of 2l & 5l; preservation poor & very few ID remains	\N	\N	\N	\N
S01343	Bosstraat	\N	50.800	3.670	Belgium	\N	\N	\N	\N	\N
S07097	Kinnegad	\N	53.457	-7.105	Ireland	\N	\N	\N	\N	\N
S09132	Lunnebjar	\N	55.611	13.070	Sweden	\N	\N	\N	\N	\N
S01542	CHEMIN DE NAVIOT	\N	48.400	6.167	France	\N	\N	\N	\N	\N
S13337	Lendava-Ivankovci	\N	46.563	16.453	Slovenia	location of the town	2024-06-13 15:28:28	jan@localhost	2024-06-13 16:33:32	jan@localhost
S06159	Aldbourne	\N	51.420	-1.520	Great Britain	\N	\N	\N	\N	\N
S20614	Hódmezővásárhely-Kökénydomb	\N	46.414	20.340	Hungary	\N	2024-10-14 14:14:52	jan@localhost	2024-10-14 14:16:30	jan@localhost
S03141	North Stoke	\N	51.565	-1.118	Great Britain	\N	\N	\N	\N	\N
S20420	Arnhem-Schuytgraaf	Gelderland Province	51.955	5.839	Netherlands	based on the publication groot2024a (not exact location)	2024-07-16 13:52:04	jelena@localhost	2024-07-16 13:52:04	jelena@localhost
S02887	Machecoul, Prises	\N	46.990	-1.810	France	\N	\N	\N	\N	\N
S04995	Sion-Planta	\N	46.230	7.360	Switzerland	\N	\N	\N	\N	\N
S07023	Gortaroe	\N	53.812	-9.507	Ireland	\N	\N	\N	\N	\N
S07549	Melk-Spielberg	\N	48.230	15.350	Austria	\N	\N	\N	\N	\N
S13230	Sarupgård; 080209-34	Funen	55.209	10.078	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S10732	Cvituša	\N	44.386	15.676	Croatia	within 1 km	2022-04-18 21:01:14	jelena@macelab-server.biochem.ucl.ac.uk	2023-04-20 15:29:14	Rscripts@localhost
S12828	Kerkrade-Holzkuil	Limburg Province	50.864	6.067	Netherlands	based on the publication groot2024a (not exact location)	2024-10-31 13:23:54	jelena@localhost	2024-10-31 13:23:54	jelena@localhost
S04136	Vers sur Selle	\N	49.840	2.230	France	\N	\N	\N	\N	\N
S11719	Úholičky	Praha-západ	50.166	14.337	Czechia / Czech Republic	\N	2023-02-27 14:17:29	jan@localhost	2023-03-07 14:45:25	jan@localhost
S13544	Sirok–Akasztómály	Heves	47.931	20.194	Hungary	coordinates: patte2021a	2024-09-06 15:06:49	robert@localhost	2024-09-06 15:06:49	robert@localhost
S06146	Trebes "Le Mourral"	\N	43.216	2.446	France	\N	\N	\N	\N	\N
S03374	Prades aven des Corneilles	\N	44.307	3.458	France	the wide oval opening of the cave of Aven des Corneilles is located between two parallel ravines on the south-east slope of a hill between the hamlet of Vallongue and the farm 'Le Champ', in the town of Prades, Lozere; the site was first discovered in 1957 by a caver (Mr. Patras) who found pottery at the base of the cave - a rescue excavation subsequently took place in 1970; layer 3 in the cave is divided into several levels (3, 3', 3A, 3B, 3C - 3: uppermost, 3C: lowest) - all of which show signs of human habitation; level 3A is described as being essentially a deposit of charred grains and charcoal in depressions - interpreted as ovens - the average thickness of the level is 10cm (14C samples taken for dating from this level); as far as I can ascertain the a/bot remains described by Erroux are from this level which is dated to the LNeo/Fontbouisse culture; archaeobotany: samples were taken by the excavator (no details of recovery methods are given); Erroux (appendix 1) describes the samples (from deposit 1 and 2) as being slightly agglomerated but easily separated into the constituent grains; he also states that the grains are 'calcined' (?mineralised); only cereal grains are identified (3 wheats, 1 barley species) and absolute numbers are not recorded - I've entered ubiquity values according to the relative proportions Erroux calculates for the different species: einkorn: 3%; emmer: 70%; bread wheat (compact): 10%; naked barley: 15% [total 98%?]	\N	\N	\N	\N
S12737	Rákoscsaba–Major-hegy Dél	District XVII of Budapest	47.491	19.295	Hungary	within 2 km	2023-09-04 08:18:47	jelena@localhost	2023-09-04 08:18:47	jelena@localhost
S10759	Халдеево; Khaldeevo	\N	57.321	39.622	Russia	\N	2022-04-27 10:55:49	robert@localhost	2022-04-27 11:55:49	robert@localhost
S06394	Great Wharf	\N	51.498	-3.095	Great Britain	\N	\N	\N	\N	\N
S06762	Ballybrennan	\N	53.427	-7.466	Ireland	\N	\N	\N	\N	\N
S02757	Les HOMMES Grotte	\N	47.580	3.780	France	\N	\N	\N	\N	\N
S12199	Kirkjuhóll, Hrísbrú	Mosfell	64.209	-21.659	Iceland	\N	2023-04-27 13:45:48	sam@localhost	2023-04-27 13:45:48	sam@localhost
S09211	Vrold	\N	56.028	9.885	Denmark	in the fall of 2010, the Skanderborg Museum completed an archaeological excavation of a 6800 m2 area in Vrold; the excavations uncovered 5-7 houses, two of which are possible Neolithic midtsulehus? and one a sunken house site from the early Bronze Age; samples were processed at Moesgaard  museum; Late Neolithic (sample X10): 3 sub-samples were taken from grain finds X10- in the present investigation just one sample of 3 x10 subsamples are analyzed; X10 is selected from the pit A584 which is located in field immediately south of a possible Neolithic midtsulehus?; the pit consists of several layers, and the dark bottom layer was filled with charred organic material - indicative of burning in situ; two 14C dates of charred cereal grains of emmer (Triticum dicoccum) from x10 both dated the pit between 1900-2000 BC - i.e., the layer is attributable to the Late Neolithic; 2 samples from the EBA house are examined: X42 - this sample was taken from the fill in the recessed portion of the longhouse K5; the sample is likely to reflect plant material that has accumulated during the period of use of the building; 2 initial 14C dates of a sample of barley (Hordeum vulgare sp.) and indeterminate grains (Cerealia indet.) gave dates spanning approx. 1500-1770 BC indicating that X42 is from the oldest part of the Bronze Age; X47 is taken from a pit (A1135) in the northern corner of the longhouse K5; the pit is interpreted as a probable basement pit that belonged to the longhouse; 2 initial 14C dates of cereal grains, respectively emmer/spelt and naked barley provided dates spanning the period ca. 1600-1750 BC which corresponds well to the date of x42, confirming the connection between the two areas/contexts	\N	\N	\N	\N
